,Commentaire,star,source,company,index_org,star_org,date
516,ras,5,TrustedShop,ShowRoom,10640,5,2020-07-20
517,top !,4,TrustedShop,ShowRoom,10655,4,2020-07-20
518,ras,5,TrustedShop,ShowRoom,10658,5,2020-07-20
519,colis incomplet,1,TrustedShop,ShowRoom,10660,1,2020-07-20
520,merci,5,TrustedShop,ShowRoom,10678,5,2020-07-20
521,"the box was in terrible condition , completely broken and it felt like the shows were already tried and worn by someone else . highly disappointed",1,TrustedShop,ShowRoom,10707,1,2020-07-19
522,ras,5,TrustedShop,ShowRoom,10749,5,2020-07-19
523,super,4,TrustedShop,ShowRoom,10752,4,2020-07-19
524,am very satisfied your service,4,TrustedShop,ShowRoom,10756,4,2020-07-19
525,formidable 5/5,5,TrustedShop,ShowRoom,10765,5,2020-07-19
526,.merci,4,TrustedShop,ShowRoom,10821,4,2020-07-19
527,ras,5,TrustedShop,ShowRoom,10844,5,2020-07-18
528,nickel,5,TrustedShop,ShowRoom,10878,5,2020-07-18
529,produits super,5,TrustedShop,ShowRoom,10927,5,2020-07-18
530,top,4,TrustedShop,ShowRoom,10940,4,2020-07-18
531,ras,4,TrustedShop,ShowRoom,10953,4,2020-07-18
532,rapide r a s,5,TrustedShop,ShowRoom,11081,5,2020-07-16
533,produit top ! ! !,5,TrustedShop,ShowRoom,11087,5,2020-07-16
534,super,5,TrustedShop,ShowRoom,11162,5,2020-07-14
535,ras,5,TrustedShop,ShowRoom,11201,5,2020-07-14
536,bon articles,4,TrustedShop,ShowRoom,11204,4,2020-07-14
537,ras,4,TrustedShop,ShowRoom,11221,4,2020-07-14
538,mon mari aime beaucoup,4,TrustedShop,ShowRoom,11234,4,2020-07-13
539,super,5,TrustedShop,ShowRoom,11242,5,2020-07-13
540,top !,5,TrustedShop,ShowRoom,11247,5,2020-07-13
541,super,5,TrustedShop,ShowRoom,11248,5,2020-07-13
542,ras,5,TrustedShop,ShowRoom,11281,5,2020-07-13
543,j ai encore rien recu,1,TrustedShop,ShowRoom,11408,1,2020-07-12
544,top,5,TrustedShop,ShowRoom,11527,5,2020-07-11
545,ras,5,TrustedShop,ShowRoom,11543,5,2020-07-11
546,ras,5,TrustedShop,ShowRoom,11544,5,2020-07-11
547,ras,4,TrustedShop,ShowRoom,11555,4,2020-07-11
548,merciii,5,TrustedShop,ShowRoom,11560,5,2020-07-11
549,conforme a mes attentes,5,TrustedShop,ShowRoom,11571,5,2020-07-11
550,ras,5,TrustedShop,ShowRoom,11593,5,2020-07-11
551,ras,5,TrustedShop,ShowRoom,11629,5,2020-07-10
552,ras,5,TrustedShop,ShowRoom,11698,5,2020-07-10
553,ras,5,TrustedShop,ShowRoom,11702,5,2020-07-10
554,ras,5,TrustedShop,ShowRoom,11721,5,2020-07-10
555,super,5,TrustedShop,ShowRoom,11726,5,2020-07-10
556,ras,5,TrustedShop,ShowRoom,11743,5,2020-07-10
557,conforme,5,TrustedShop,ShowRoom,11746,5,2020-07-10
558,super,5,TrustedShop,ShowRoom,11807,5,2020-07-09
559,cool,5,TrustedShop,ShowRoom,11822,5,2020-07-09
560,ras,5,TrustedShop,ShowRoom,11825,5,2020-07-09
561,excellent produit,4,TrustedShop,ShowRoom,11829,4,2020-07-09
562,ras,4,TrustedShop,ShowRoom,11835,4,2020-07-09
563,trop belle,5,TrustedShop,ShowRoom,11875,5,2020-07-09
564,super,5,TrustedShop,ShowRoom,11878,5,2020-07-09
565,merci,4,TrustedShop,ShowRoom,11922,4,2020-07-09
566,trop contente,5,TrustedShop,ShowRoom,11928,5,2020-07-08
567,ras,4,TrustedShop,ShowRoom,11931,4,2020-07-08
568,ras,5,TrustedShop,ShowRoom,11935,5,2020-07-08
569,conforme,5,TrustedShop,ShowRoom,11942,5,2020-07-08
570,nickel,5,TrustedShop,ShowRoom,11988,5,2020-07-08
571,conforme,5,TrustedShop,ShowRoom,11997,5,2020-07-07
572,super,5,TrustedShop,ShowRoom,11999,5,2020-07-07
573,jolie,5,TrustedShop,ShowRoom,12017,5,2020-07-07
574,ras,5,TrustedShop,ShowRoom,12018,5,2020-07-07
575,ras,5,TrustedShop,ShowRoom,12022,5,2020-07-07
576,ras,4,TrustedShop,ShowRoom,12043,4,2020-07-07
577,merci,5,TrustedShop,ShowRoom,12127,5,2020-07-06
578,impecable,5,TrustedShop,ShowRoom,12148,5,2020-07-06
579,"rapide ,",5,TrustedShop,ShowRoom,12155,5,2020-07-06
580,super,5,TrustedShop,ShowRoom,12164,5,2020-07-06
581,tom,5,TrustedShop,ShowRoom,12188,5,2020-07-06
582,what else,5,TrustedShop,ShowRoom,12194,5,2020-07-06
583,ras,5,TrustedShop,ShowRoom,12198,5,2020-07-06
584,merci,5,TrustedShop,ShowRoom,12215,5,2020-07-06
585,merci,5,TrustedShop,ShowRoom,12234,5,2020-07-05
586,ras,5,TrustedShop,ShowRoom,12297,5,2020-07-05
587,ras,5,TrustedShop,ShowRoom,12298,5,2020-07-05
588,super,5,TrustedShop,ShowRoom,12335,5,2020-07-05
589,tres bon achat merci,5,TrustedShop,ShowRoom,12344,5,2020-07-05
590,ras,5,TrustedShop,ShowRoom,12360,5,2020-07-05
591,ras,5,TrustedShop,ShowRoom,12390,5,2020-07-05
592,satisfaction totale,4,TrustedShop,ShowRoom,12392,4,2020-07-05
593,livraison hyper rapide merci,5,TrustedShop,ShowRoom,12436,5,2020-07-04
594,bon produit,4,TrustedShop,ShowRoom,12457,4,2020-07-04
595,ras,5,TrustedShop,ShowRoom,12460,5,2020-07-04
596,merci,5,TrustedShop,ShowRoom,12461,5,2020-07-04
597,ras,5,TrustedShop,ShowRoom,12468,5,2020-07-04
598,bravo,5,TrustedShop,ShowRoom,12469,5,2020-07-04
599,ras,5,TrustedShop,ShowRoom,12478,5,2020-07-04
600,ras,5,TrustedShop,ShowRoom,12484,5,2020-07-04
601,top !,5,TrustedShop,ShowRoom,12501,5,2020-07-04
602,produit conforme a l image ..,5,TrustedShop,ShowRoom,12502,5,2020-07-04
603,super,5,TrustedShop,ShowRoom,12516,5,2020-07-04
604,top,5,TrustedShop,ShowRoom,12535,5,2020-07-04
605,l 'excellence .....,5,TrustedShop,ShowRoom,12591,5,2020-07-03
606,content,5,TrustedShop,ShowRoom,12596,5,2020-07-03
607,ras,5,TrustedShop,ShowRoom,12601,5,2020-07-03
608,bon produit,5,TrustedShop,ShowRoom,12617,5,2020-07-03
609,1/2 articles a retourner,2,TrustedShop,ShowRoom,12669,2,2020-07-03
610,ras,5,TrustedShop,ShowRoom,12753,5,2020-07-03
611,nickel,5,TrustedShop,ShowRoom,12768,5,2020-07-02
612,nickel,5,TrustedShop,ShowRoom,12788,5,2020-07-02
613,top !,5,TrustedShop,ShowRoom,12813,5,2020-07-02
614,ras,5,TrustedShop,ShowRoom,12829,5,2020-07-02
615,top .,5,TrustedShop,ShowRoom,12833,5,2020-07-02
616,ras,5,TrustedShop,ShowRoom,12855,5,2020-07-02
617,bon produit,5,TrustedShop,ShowRoom,12857,5,2020-07-02
618,nickel,5,TrustedShop,ShowRoom,12863,5,2020-07-02
619,very good,5,TrustedShop,ShowRoom,12921,5,2020-07-01
620,ras,5,TrustedShop,ShowRoom,13020,5,2020-06-30
621,ras,4,TrustedShop,ShowRoom,13036,4,2020-06-30
622,ras,4,TrustedShop,ShowRoom,13078,4,2020-06-29
623,bon produit,4,TrustedShop,ShowRoom,13109,4,2020-06-29
624,ras,5,TrustedShop,ShowRoom,13137,5,2020-06-29
625,rien,3,TrustedShop,ShowRoom,13142,3,2020-06-29
626,ravis,5,TrustedShop,ShowRoom,13169,5,2020-06-29
627,ras,5,TrustedShop,ShowRoom,13202,5,2020-06-29
628,ras,5,TrustedShop,ShowRoom,13205,5,2020-06-29
629,ras,4,TrustedShop,ShowRoom,13217,4,2020-06-29
630,ras,4,TrustedShop,ShowRoom,13232,4,2020-06-29
631,ras,5,TrustedShop,ShowRoom,13259,5,2020-06-28
632,short chic,5,TrustedShop,ShowRoom,13313,5,2020-06-28
633,ras,5,TrustedShop,ShowRoom,13351,5,2020-06-28
634,ras,5,TrustedShop,ShowRoom,13386,5,2020-06-28
635,it was very on time,5,TrustedShop,ShowRoom,13388,5,2020-06-28
636,ravie,5,TrustedShop,ShowRoom,13390,5,2020-06-28
637,ras,5,TrustedShop,ShowRoom,13408,5,2020-06-28
638,je suis contente,5,TrustedShop,ShowRoom,13436,5,2020-06-28
639,super,4,TrustedShop,ShowRoom,13438,4,2020-06-28
640,merci,3,TrustedShop,ShowRoom,13479,3,2020-06-27
641,ras,5,TrustedShop,ShowRoom,13500,5,2020-06-27
642,bon produit,5,TrustedShop,ShowRoom,13507,5,2020-06-27
643,nickel,5,TrustedShop,ShowRoom,13541,5,2020-06-27
644,super,5,TrustedShop,ShowRoom,13548,5,2020-06-27
645,conforme .,5,TrustedShop,ShowRoom,13551,5,2020-06-27
646,excellent produit,4,TrustedShop,ShowRoom,13552,4,2020-06-27
647,merci,5,TrustedShop,ShowRoom,13587,5,2020-06-27
648,top,5,TrustedShop,ShowRoom,13592,5,2020-06-27
649,top,4,TrustedShop,ShowRoom,13612,4,2020-06-26
650,super,5,TrustedShop,ShowRoom,13632,5,2020-06-26
651,trop beau,5,TrustedShop,ShowRoom,13649,5,2020-06-26
652,nickel,5,TrustedShop,ShowRoom,13658,5,2020-06-26
653,ras,5,TrustedShop,ShowRoom,13696,5,2020-06-26
654,bon article,5,TrustedShop,ShowRoom,13707,5,2020-06-26
655,ras,4,TrustedShop,ShowRoom,13752,4,2020-06-26
656,ras,5,TrustedShop,ShowRoom,13776,5,2020-06-26
657,top,5,TrustedShop,ShowRoom,13848,5,2020-06-25
658,ras,5,TrustedShop,ShowRoom,13862,5,2020-06-25
659,super,5,TrustedShop,ShowRoom,13867,5,2020-06-25
660,ras,3,TrustedShop,ShowRoom,13874,3,2020-06-25
661,correct,4,TrustedShop,ShowRoom,13911,4,2020-06-25
662,rapide,4,TrustedShop,ShowRoom,13913,4,2020-06-25
663,top,5,TrustedShop,ShowRoom,13916,5,2020-06-25
664,conforme a mes attentes,5,TrustedShop,ShowRoom,13956,5,2020-06-25
665,tb xx,5,TrustedShop,ShowRoom,13995,5,2020-06-24
666,super,5,TrustedShop,ShowRoom,14016,5,2020-06-24
667,bon produits,5,TrustedShop,ShowRoom,14017,5,2020-06-24
668,very good,5,TrustedShop,ShowRoom,14050,5,2020-06-24
669,top,5,TrustedShop,ShowRoom,14066,5,2020-06-24
670,ras,3,TrustedShop,ShowRoom,14077,3,2020-06-24
671,ras,5,TrustedShop,ShowRoom,14112,5,2020-06-23
672,ras,4,TrustedShop,ShowRoom,14130,4,2020-06-23
673,top,5,TrustedShop,ShowRoom,14147,5,2020-06-23
674,oui,5,TrustedShop,ShowRoom,14189,5,2020-06-22
675,ravie,5,TrustedShop,ShowRoom,14238,5,2020-06-22
676,ras,5,TrustedShop,ShowRoom,14257,5,2020-06-22
677,correct,5,TrustedShop,ShowRoom,14270,5,2020-06-22
678,ras,4,TrustedShop,ShowRoom,14300,4,2020-06-22
679,ras,5,TrustedShop,ShowRoom,14311,5,2020-06-22
680,ras,5,TrustedShop,ShowRoom,14315,5,2020-06-22
681,r.a.s,5,TrustedShop,ShowRoom,14316,5,2020-06-22
682,ras,5,TrustedShop,ShowRoom,14320,5,2020-06-22
683,ras,5,TrustedShop,ShowRoom,14373,5,2020-06-21
684,ras,4,TrustedShop,ShowRoom,14385,4,2020-06-21
685,nickel,5,TrustedShop,ShowRoom,14392,5,2020-06-21
686,super,5,TrustedShop,ShowRoom,14419,5,2020-06-21
687,superbe bracelet,5,TrustedShop,ShowRoom,14422,5,2020-06-21
688,nul,2,TrustedShop,ShowRoom,14437,2,2020-06-21
689,bon article,5,TrustedShop,ShowRoom,14440,5,2020-06-21
690,top !,5,TrustedShop,ShowRoom,14495,5,2020-06-21
691,super,4,TrustedShop,ShowRoom,14498,4,2020-06-21
692,top,5,TrustedShop,ShowRoom,14538,5,2020-06-21
693,lalalala,5,TrustedShop,ShowRoom,14547,5,2020-06-21
694,super,4,TrustedShop,ShowRoom,14559,4,2020-06-20
695,bon : ),5,TrustedShop,ShowRoom,14562,5,2020-06-20
696,conforme a mes attentes,5,TrustedShop,ShowRoom,14581,5,2020-06-20
697,merci,5,TrustedShop,ShowRoom,14601,5,2020-06-20
698,super,5,TrustedShop,ShowRoom,14607,5,2020-06-20
699,ras,4,TrustedShop,ShowRoom,14611,4,2020-06-20
700,super,4,TrustedShop,ShowRoom,14621,4,2020-06-20
701,ras,5,TrustedShop,ShowRoom,14626,5,2020-06-20
702,ras,5,TrustedShop,ShowRoom,14638,5,2020-06-20
703,ras,5,TrustedShop,ShowRoom,14691,5,2020-06-20
704,nickel,5,TrustedShop,ShowRoom,14696,5,2020-06-20
705,rien,4,TrustedShop,ShowRoom,14698,4,2020-06-20
706,top,5,TrustedShop,ShowRoom,14718,5,2020-06-19
707,top !,5,TrustedShop,ShowRoom,14771,5,2020-06-19
708,je suis content,4,TrustedShop,ShowRoom,14775,4,2020-06-19
709,ras,5,TrustedShop,ShowRoom,14778,5,2020-06-19
710,nickel,5,TrustedShop,ShowRoom,14782,5,2020-06-19
711,tout nickel !,5,TrustedShop,ShowRoom,14806,5,2020-06-19
712,ras,5,TrustedShop,ShowRoom,14816,5,2020-06-19
713,superbes articles,5,TrustedShop,ShowRoom,14830,5,2020-06-19
714,ras,5,TrustedShop,ShowRoom,14898,5,2020-06-18
715,ras,4,TrustedShop,ShowRoom,14907,4,2020-06-18
716,trop petit,2,TrustedShop,ShowRoom,14910,2,2020-06-18
717,ras,5,TrustedShop,ShowRoom,14913,5,2020-06-18
718,ras,5,TrustedShop,ShowRoom,14936,5,2020-06-18
719,nul,2,TrustedShop,ShowRoom,15013,2,2020-06-18
720,top,4,TrustedShop,ShowRoom,15051,4,2020-06-17
721,"the product was perfect , just the delivery date was too long and the delivery guy did n't follow my instructions as what also the delivery service stated . he was said to deliver my package at my doorstep but insisted to let me get it just in front of the building . that 's why i paid for delivery fee , it was expensive and i was expecting it . i was disappointed . but happy with my new luggage .",3,TrustedShop,ShowRoom,15064,3,2020-06-17
722,super,5,TrustedShop,ShowRoom,15066,5,2020-06-17
723,ras,4,TrustedShop,ShowRoom,15103,4,2020-06-17
724,cgukk,5,TrustedShop,ShowRoom,15112,5,2020-06-17
725,ras,5,TrustedShop,ShowRoom,15116,5,2020-06-17
726,ras,5,TrustedShop,ShowRoom,15142,5,2020-06-17
727,le top !,5,TrustedShop,ShowRoom,15196,5,2020-06-17
728,super,3,TrustedShop,ShowRoom,15199,3,2020-06-17
729,bon,4,TrustedShop,ShowRoom,15204,4,2020-06-16
730,super,5,TrustedShop,ShowRoom,15213,5,2020-06-16
731,ras,5,TrustedShop,ShowRoom,15221,5,2020-06-16
732,super,5,TrustedShop,ShowRoom,15252,5,2020-06-16
733,top,4,TrustedShop,ShowRoom,15288,4,2020-06-16
734,nickel,5,TrustedShop,ShowRoom,15340,5,2020-06-15
735,satisfaction,5,TrustedShop,ShowRoom,15350,5,2020-06-15
736,bon produit,4,TrustedShop,ShowRoom,15351,4,2020-06-15
737,bon article,3,TrustedShop,ShowRoom,15392,3,2020-06-15
738,ras,5,TrustedShop,ShowRoom,15419,5,2020-06-15
739,ras,4,TrustedShop,ShowRoom,15448,4,2020-06-15
740,top,4,TrustedShop,ShowRoom,15450,4,2020-06-15
741,super produit !,5,TrustedShop,ShowRoom,15484,5,2020-06-15
742,super,5,TrustedShop,ShowRoom,15492,5,2020-06-15
743,satisfaction,4,TrustedShop,ShowRoom,15513,4,2020-06-15
744,ras,5,TrustedShop,ShowRoom,15551,5,2020-06-15
745,super,5,TrustedShop,ShowRoom,15569,5,2020-06-14
746,ras,5,TrustedShop,ShowRoom,15573,5,2020-06-14
747,ras,3,TrustedShop,ShowRoom,15593,3,2020-06-14
748,conforme,4,TrustedShop,ShowRoom,15599,4,2020-06-14
749,"tres bon achat , livraison rapide . nickel",5,TrustedShop,ShowRoom,15626,5,2020-06-14
750,top,5,TrustedShop,ShowRoom,15640,5,2020-06-14
751,ras,4,TrustedShop,ShowRoom,15669,4,2020-06-14
752,ras,4,TrustedShop,ShowRoom,15695,4,2020-06-14
753,ra merci,5,TrustedShop,ShowRoom,15703,5,2020-06-14
754,super,4,TrustedShop,ShowRoom,15720,4,2020-06-14
755,.ras,5,TrustedShop,ShowRoom,15822,5,2020-06-13
756,ravie,5,TrustedShop,ShowRoom,15854,5,2020-06-13
757,le top !,5,TrustedShop,ShowRoom,15882,5,2020-06-13
758,ras,5,TrustedShop,ShowRoom,15894,5,2020-06-13
759,ras,4,TrustedShop,ShowRoom,15906,4,2020-06-13
760,ras,5,TrustedShop,ShowRoom,15921,5,2020-06-13
761,r a s,5,TrustedShop,ShowRoom,15969,5,2020-06-13
762,okk,4,TrustedShop,ShowRoom,16026,4,2020-06-12
763,nulle,1,TrustedShop,ShowRoom,16028,1,2020-06-12
764,bon produit,3,TrustedShop,ShowRoom,16036,3,2020-06-12
765,bon produit,5,TrustedShop,ShowRoom,16055,5,2020-06-12
766,ras,4,TrustedShop,ShowRoom,16094,4,2020-06-12
767,top,5,TrustedShop,ShowRoom,16120,5,2020-06-12
768,ras,5,TrustedShop,ShowRoom,16126,5,2020-06-12
769,top,4,TrustedShop,ShowRoom,16169,4,2020-06-12
770,trop beau,5,TrustedShop,ShowRoom,16176,5,2020-06-12
771,top ...,5,TrustedShop,ShowRoom,16181,5,2020-06-12
772,xsd,2,TrustedShop,ShowRoom,16202,2,2020-06-12
773,ravie,5,TrustedShop,ShowRoom,16233,5,2020-06-12
774,super,5,TrustedShop,ShowRoom,16318,5,2020-06-11
775,super,4,TrustedShop,ShowRoom,16321,4,2020-06-11
776,merci,5,TrustedShop,ShowRoom,16330,5,2020-06-11
777,ras,5,TrustedShop,ShowRoom,16347,5,2020-06-11
778,bon service rien a redire,4,TrustedShop,ShowRoom,16411,4,2020-06-11
779,ras,4,TrustedShop,ShowRoom,16424,4,2020-06-11
780,ras,5,TrustedShop,ShowRoom,16425,5,2020-06-11
781,ras,5,TrustedShop,ShowRoom,16449,5,2020-06-11
782,merci,5,TrustedShop,ShowRoom,16466,5,2020-06-11
783,ras,5,TrustedShop,ShowRoom,16525,5,2020-06-11
784,super produit !,5,TrustedShop,ShowRoom,16546,5,2020-06-10
785,merci,5,TrustedShop,ShowRoom,16548,5,2020-06-10
786,ras,5,TrustedShop,ShowRoom,16570,5,2020-06-10
787,ravie,5,TrustedShop,ShowRoom,16572,5,2020-06-10
788,qualite mediocre,4,TrustedShop,ShowRoom,16590,4,2020-06-10
789,super,5,TrustedShop,ShowRoom,16619,5,2020-06-10
790,joli produit,5,TrustedShop,ShowRoom,16650,5,2020-06-10
791,merci,5,TrustedShop,ShowRoom,16653,5,2020-06-10
792,super,4,TrustedShop,ShowRoom,16721,4,2020-06-09
793,ras,5,TrustedShop,ShowRoom,16775,5,2020-06-09
794,super,5,TrustedShop,ShowRoom,16817,5,2020-06-09
795,trop beau,4,TrustedShop,ShowRoom,16819,4,2020-06-09
796,xwxsqdsqsdqsdq,1,TrustPilot,VeePee,17726,1,2020-05-25 00:00:00+00:00
